100,recursivo,72192276410300,72192276453900,43600
100,recursivo,72193980314800,72193980334200,19400
100,recursivo,72195388294000,72195388318600,24600
100,recursivo,72196780405500,72196780431400,25900
100,recursivo,72198092294300,72198092296700,2400
100,Iterativo,72201108280200,72201108294600,14400
100,Iterativo,72203508294800,72203508298800,4000
100,Iterativo,72204988291400,72204988295800,4400
100,Iterativo,72206244375500,72206244381900,6400
100,Iterativo,72207924275500,72207924278600,3100
100,Iterativo,72209076284000,72209076287200,3200
100,Iterativo,72210540259300,72210540262900,3600
100,Iterativo,72211972261700,72211972264700,3000
100,recursivo,72215500288600,72215500290900,2300
20,recursivo,72231284274000,72231284275200,1200
20,Iterativo,72234284262600,72234284265000,2400
100,Iterativo,79813617271600,79813617279200,7600
